scan_time,symbol,sector,industry,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,avg_volume_20,latest_volume,volume_ratio,trend,trend_score,momentum_score,reversal_score,volume_score,risk_penalty,conviction_score,score,reasons
29.08.2026 at 02:41 AM IST,ORKLAINDIA,Unknown,Unknown,606.0,4.52,533.25,760.0,13.64,20.26,67.59,580.31,603.3,129942.95,407447.0,3.14,Bullish,30,20,15,15,0,80,80,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Close to 52W low with recovery potential, Strong volume expansion"
29.08.2026 at 02:41 AM IST,LICHSGFIN,Financial Services,Unknown,535.5,2.12,449.87,586.43,19.04,8.68,64.82,522.22,523.47,2661893.8,7375648.0,2.77,Bullish,30,20,15,15,0,80,80,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Close to 52W low with recovery potential, Strong volume expansion"
29.08.2026 at 02:41 AM IST,SINCLAIR,Unknown,Unknown,79.92,6.76,68.82,114.75,16.13,30.35,67.12,75.68,78.21,31451.7,143654.0,4.57,Bullish,30,20,15,15,0,80,80,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Close to 52W low with recovery potential, Strong volume expansion"
29.08.2026 at 02:41 AM IST,JSWDULUX,Consumer Durables,Unknown,3110.4,0.14,2626.09,3687.56,18.44,15.65,53.87,3072.13,3038.88,17336.4,22595.0,1.3,Bullish,30,20,15,10,0,75,75,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Close to 52W low with recovery potential, Volume expansion"
29.08.2026 at 02:41 AM IST,BALKRISIND,Automobile and Auto Components,Unknown,2352.1,1.01,1963.17,2765.38,19.81,14.94,51.79,2260.42,2286.1,376817.4,490664.0,1.3,Bullish,30,20,15,10,0,75,75,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Close to 52W low with recovery potential, Volume expansion"
29.08.2026 at 02:41 AM IST,ULTRACEMCO,Construction Materials,Unknown,11717.0,0.0,10118.47,12847.76,15.8,8.8,52.18,11566.02,11566.83,224174.25,319993.0,1.43,Bullish,30,20,15,10,0,75,75,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Close to 52W low with recovery potential, Volume expansion"
29.08.2026 at 02:41 AM IST,TRAVELFOOD,Consumer Services,Unknown,1333.9,3.58,1035.3,1470.9,28.84,9.31,51.32,1326.32,1243.34,142529.8,538246.0,3.78,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
29.08.2026 at 02:41 AM IST,CRISIL,Financial Services,Unknown,4703.2,4.21,3669.91,5038.99,28.16,6.66,67.47,4303.46,4282.45,47582.45,170325.0,3.58,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
29.08.2026 at 02:41 AM IST,BANARBEADS,Unknown,Unknown,119.51,6.94,96.05,164.7,24.42,27.44,63.07,111.54,115.85,5327.4,56286.0,10.57,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
29.08.2026 at 02:41 AM IST,STARPAPER,Unknown,Unknown,148.97,1.43,119.05,178.24,25.13,16.42,54.29,144.72,146.56,8688.4,18090.0,2.08,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
29.08.2026 at 02:41 AM IST,SBFC,Financial Services,Unknown,98.61,-2.5,79.6,123.0,23.88,19.83,63.17,92.72,95.67,2440963.0,6843021.0,2.8,Bullish,30,20,8,15,0,73,73,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Strong volume expansion"
29.08.2026 at 02:41 AM IST,ASIANHOTNR,Unknown,Unknown,312.05,1.74,247.5,402.55,26.08,22.48,55.79,305.55,305.89,50586.7,101028.0,2.0,Bullish,30,20,8,10,0,68,68,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Volume expansion"
29.08.2026 at 02:41 AM IST,JINDALSTEL,Metals & Mining,Unknown,1170.0,-0.46,941.61,1303.87,24.25,10.27,66.81,1079.89,1123.86,837023.95,1533812.0,1.83,Bullish,30,20,8,10,0,68,68,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Volume expansion"
29.08.2026 at 02:41 AM IST,MAHSEAMLES,Unknown,Unknown,642.05,0.86,500.7,690.0,28.23,6.95,68.96,602.19,584.57,210976.2,302076.0,1.43,Bullish,30,20,8,10,0,68,68,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Volume expansion"
29.08.2026 at 02:41 AM IST,UNITDSPR,Fast Moving Consumer Goods,Unknown,1522.0,-1.07,1201.55,1563.4,26.67,2.65,54.53,1449.62,1364.8,507722.15,717436.0,1.41,Bullish,30,20,8,10,0,68,68,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Volume expansion"
29.08.2026 at 02:41 AM IST,IMPAL,Unknown,Unknown,1108.1,2.37,909.5,1214.2,21.84,8.74,53.86,1097.59,1033.15,1772.25,2325.0,1.31,Bullish,30,20,8,10,0,68,68,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Within 30% of 52W low, Volume expansion"
29.08.2026 at 02:41 AM IST,GKENERGY,Unknown,Unknown,139.65,4.36,86.85,238.63,60.8,41.48,63.06,135.98,132.56,817482.25,5842310.0,7.15,Bullish,30,20,0,15,0,65,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Strong volume expansion"
29.08.2026 at 02:41 AM IST,WENDT,Unknown,Unknown,8376.0,2.79,5833.99,10295.93,43.57,18.65,62.32,7955.17,7398.64,7249.9,14765.0,2.04,Bullish,30,20,0,15,0,65,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Strong volume expansion"
29.08.2026 at 02:41 AM IST,BAJEL,Unknown,Unknown,194.53,2.64,134.64,225.92,44.48,13.89,58.98,187.0,175.09,375491.0,780237.0,2.08,Bullish,30,20,0,15,0,65,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Strong volume expansion"
29.08.2026 at 02:41 AM IST,APOLSINHOT,Unknown,Unknown,1235.3,3.75,950.0,1476.9,30.03,16.36,54.39,1231.24,1215.24,1095.25,2414.0,2.2,Bullish,30,20,0,15,0,65,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Strong volume expansion"
29.08.2026 at 02:41 AM IST,SUPREMEIND,Capital Goods,Unknown,3585.0,1.27,3140.0,4596.8,14.17,22.01,56.36,3438.57,3551.54,171233.9,152254.0,0.89,Bullish,30,20,15,0,0,65,65,"Above 50 DMA, Above 200 DMA, Healthy RSI momentum, Close to 52W low with recovery potential"
