change_scan_time,symbol,sector,industry,current_price,current_rsi,current_risk,current_final_score,current_score_band,technical_score,fundamental_score,relative_strength_score,volume_ratio,distance_pct,distance_from_high_pct,trend,previous_rsi,previous_risk,previous_final_score,previous_score_band,score_change,rsi_change,risk_change,change_signal
01.09.2026 at 10:07 AM IST,AMBICAAGAR,Consumer Defensive,Household & Personal Products,24.96,51.74,0,24.31,E Avoid,55,11.0,10,0.26,24.8,15.9,Bullish,44.8,15.0,0.0,E Avoid,24.31,6.94,-15.0,"Score Improved Sharply, RSI Recovery, Risk Reduced Sharply"
01.09.2026 at 10:07 AM IST,BALKRISIND,Consumer Cyclical,Auto Parts,2336.0,50.29,0,31.76,E Avoid,60,15.0,20,0.2,18.99,15.53,Bullish,44.08,15.0,10.15,E Avoid,21.61,6.21,-15.0,"Score Improved Sharply, RSI Recovery, Risk Reduced Sharply"
01.09.2026 at 10:07 AM IST,M&M,Consumer Cyclical,Auto Manufacturers,3327.1,47.47,0,35.71,D Weak,52,31.0,20,0.18,16.09,12.44,Bullish,42.21,15.0,14.85,E Avoid,20.86,5.26,-15.0,"Score Improved Sharply, Risk Reduced Sharply, Band Changed: E Avoid → D Weak"
01.09.2026 at 10:07 AM IST,ADANIPORTS,Industrials,Marine Shipping,1650.9,42.33,0,27.08,E Avoid,28,30.0,10,0.81,28.32,12.7,Bearish,30.89,20.0,7.3,E Avoid,19.78,11.44,-20.0,"Score Improved Sharply, Risk Reduced Sharply"
01.09.2026 at 10:07 AM IST,AMNPLST,Basic Materials,Chemicals,182.89,38.39,0,24.23,E Avoid,23,30.0,10,0.05,44.01,26.84,Bearish,36.98,15.0,5.63,E Avoid,18.6,1.41,-15.0,"Score Improved Sharply, Risk Reduced Sharply"
01.09.2026 at 10:07 AM IST,TEXMOPIPES,Industrials,Building Products & Equipment,46.18,57.01,0,39.23,D Weak,50,30.0,38,0.07,39.94,25.52,Bullish,53.8,15.0,20.7,E Avoid,18.53,3.21,-15.0,"Score Improved Sharply, Risk Reduced Sharply, Band Changed: E Avoid → D Weak"
01.09.2026 at 10:07 AM IST,PTC,Utilities,Utilities - Independent Power Producers,157.37,47.78,0,23.44,E Avoid,37,22.0,10,0.4,20.73,22.69,Bearish,37.03,15.0,6.45,E Avoid,16.99,10.75,-15.0,"Score Improved Sharply, Risk Reduced Sharply"
01.09.2026 at 10:07 AM IST,KSB,Industrials,Specialty Industrial Machinery,811.0,46.37,0,30.78,E Avoid,37,29.0,20,0.23,22.25,20.74,Bearish,44.31,15.0,15.0,E Avoid,15.78,2.06,-15.0,"Score Improved Sharply, Risk Reduced Sharply"
01.09.2026 at 10:07 AM IST,MVGJL,Consumer Cyclical,Luxury Goods,162.06,56.51,15,22.51,E Avoid,55,34.0,20,5.12,25.53,24.55,Bullish,42.9,15.0,7.15,E Avoid,15.36,13.61,0.0,"Score Improved Sharply, RSI Recovery"
01.09.2026 at 10:07 AM IST,VITAL,Unknown,Unknown,54.99,59.65,0,21.11,E Avoid,50,0.0,25,0.0,55.34,20.76,Bullish,53.75,15.0,7.57,E Avoid,13.54,5.9,-15.0,"Score Improved Sharply, Risk Reduced Sharply"
