range_scan_time,symbol,range_status,range_score,range_low,range_high,absolute_range_low,absolute_range_high,range_width_pct,absolute_range_width_pct,current_position_pct,upside_to_range_high_pct,downside_to_range_low_pct,inside_range_pct,lower_touch_days,upper_touch_days,range_stability_score,range_width_score,range_position_score,range_bounce_score,range_quality_risk_score,range_rsi,range_volume_ratio,range_breakdown_buffer_pct,range_breakout_buffer_pct,is_range_breakdown,is_range_breakout,range_reasons
26.05.2026 at 04:05 PM IST,BAJAJCON,Wide / Volatile Range,50.0,257.81,521.3,242.55,581.0,102.21,139.54,100.0,-6.04,53.53,80.0,19,14,87.5,20.0,5,70,89.75,65.37,0.33,115.2,6.43,False,False,80.0% closes stayed inside robust range | Range width is 102.2% | Current position is 100.0% inside range | Upside to range high is -6.0% | Downside to range low is 53.5% | Stock is near upper band
26.05.2026 at 04:05 PM IST,GESHIP,Wide / Volatile Range,49.75,1097.06,1556.65,1057.1,1798.0,41.89,70.09,100.0,-5.7,33.54,80.0,40,18,87.5,20.0,5,65,85.8,56.62,0.25,50.47,6.04,False,False,80.0% closes stayed inside robust range | Range width is 41.9% | Current position is 100.0% inside range | Upside to range high is -5.7% | Downside to range low is 33.5% | Stock is near upper band
26.05.2026 at 04:05 PM IST,CUPID,Wide / Volatile Range,50.0,78.04,120.31,64.8,133.92,54.18,106.67,100.0,-5.89,38.96,80.0,27,18,87.5,20.0,5,100,85.6,51.42,0.73,63.82,6.25,False,False,80.0% closes stayed inside robust range | Range width is 54.2% | Current position is 100.0% inside range | Upside to range high is -5.9% | Downside to range low is 39.0% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,TDPOWERSYS,Wide / Volatile Range,50.0,676.69,1176.99,602.4,1375.0,73.93,128.25,100.0,-13.91,50.51,80.0,27,21,87.5,20.0,5,70,86.95,67.88,0.59,102.04,16.16,False,False,80.0% closes stayed inside robust range | Range width is 73.9% | Current position is 100.0% inside range | Upside to range high is -13.9% | Downside to range low is 50.5% | Stock is near upper band
26.05.2026 at 04:05 PM IST,AJANTPHARM,Profit Booking Zone,69.72,2650.47,3082.52,2513.6,3314.9,16.3,31.88,100.0,-0.47,14.42,80.0,34,24,87.5,100.0,5,90,87.31,50.06,0.59,16.85,0.47,False,False,80.0% closes stayed inside robust range | Range width is 16.3% | Current position is 100.0% inside range | Upside to range high is -0.5% | Downside to range low is 14.4% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,MCX,Wide / Volatile Range,48.81,2059.64,3103.71,1950.0,3480.0,50.69,78.46,100.0,-6.16,37.72,80.0,15,14,87.5,20.0,5,60,84.59,69.93,0.68,60.58,6.56,False,False,80.0% closes stayed inside robust range | Range width is 50.7% | Current position is 100.0% inside range | Upside to range high is -6.2% | Downside to range low is 37.7% | Stock is near upper band
26.05.2026 at 04:05 PM IST,KIRLPNU,Wide / Volatile Range,50.0,1039.92,1525.31,990.1,1697.0,46.68,71.4,100.0,-8.22,37.43,80.0,41,19,87.5,20.0,5,70,86.38,63.41,0.43,59.82,8.96,False,False,80.0% closes stayed inside robust range | Range width is 46.7% | Current position is 100.0% inside range | Upside to range high is -8.2% | Downside to range low is 37.4% | Stock is near upper band
26.05.2026 at 04:05 PM IST,PARAS,Profit Booking Zone,64.95,631.02,805.23,580.5,888.0,27.61,52.97,100.0,-6.17,26.47,80.0,35,24,87.5,80.0,5,85,87.18,58.63,0.95,35.99,6.57,False,False,80.0% closes stayed inside robust range | Range width is 27.6% | Current position is 100.0% inside range | Upside to range high is -6.2% | Downside to range low is 26.5% | Stock is near upper band
26.05.2026 at 04:05 PM IST,HSCL,Profit Booking Zone,60.72,446.94,602.08,421.0,654.45,34.71,55.45,100.0,-0.71,26.3,80.0,40,17,87.5,50.0,5,100,83.99,43.25,0.63,35.68,0.72,False,False,80.0% closes stayed inside robust range | Range width is 34.7% | Current position is 100.0% inside range | Upside to range high is -0.7% | Downside to range low is 26.3% | Stock is near upper band | RSI is in a reasonable range-bound zone
26.05.2026 at 04:05 PM IST,SJS,Profit Booking Zone,69.14,1599.23,1936.4,1503.0,2049.8,21.08,36.38,100.0,-5.0,21.54,80.0,28,16,87.5,100.0,5,85,88.45,60.19,0.53,27.46,5.27,False,False,80.0% closes stayed inside robust range | Range width is 21.1% | Current position is 100.0% inside range | Upside to range high is -5.0% | Downside to range low is 21.5% | Stock is near upper band
