symbol,sector,current_price,day_change_pct,52w_low,52w_high,distance_pct,distance_from_high_pct,rsi,sma50,sma200,volume_ratio,trend,score,reasons
NAVA,Power,628.5,-10.67,442.6,739.4,42.0,15.0,41.86,617.88,601.98,3.75,Bullish,75,"RSI weak/oversold, Above 50 DMA, Volume expansion, Above 200 DMA"
GICRE,Financial Services,387.45,1.18,350.25,434.81,10.62,10.89,47.12,382.64,377.82,0.94,Bullish,65,"Near 52W low, Above 50 DMA, Above 200 DMA"
RECLTD,Financial Services,345.85,-0.7,304.05,406.72,13.75,14.97,42.94,345.5,355.02,0.47,Bullish,65,"Near 52W low, RSI weak/oversold, Above 50 DMA"
UNITDSPR,Fast Moving Consumer Goods,1320.7,3.79,1210.8,1627.82,9.08,18.87,53.51,1308.3,1349.09,2.96,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
TRAVELFOOD,Consumer Services,1098.4,-4.01,1008.5,1445.0,8.91,23.99,24.42,1223.98,1230.82,2.57,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
KFINTECH,Financial Services,808.2,-1.49,805.0,1379.27,0.4,41.4,32.22,915.67,1033.32,1.45,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
KAYNES,Capital Goods,3271.9,-1.94,3184.2,7705.0,2.75,57.54,31.54,3889.32,5063.83,3.94,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
APOLLOTYRE,Automobile and Auto Components,394.5,-1.82,392.0,536.76,0.64,26.5,34.68,421.08,471.43,6.28,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
TRIDENT,Textiles,24.7,-1.79,21.98,34.1,12.37,27.56,41.03,24.83,27.07,1.95,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
BAJAJFINSV,Financial Services,1728.1,-0.7,1597.0,2195.0,8.21,21.27,40.79,1776.21,1963.37,2.06,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
CHAMBLFERT,Chemicals,449.9,5.96,399.75,637.12,12.55,29.39,53.39,440.11,472.29,9.73,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
INFY,Information Technology,1119.0,2.19,1089.0,1728.0,2.75,35.24,33.79,1244.76,1445.34,1.36,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
GALLANTT,Capital Goods,744.9,-3.08,422.26,948.0,76.41,21.42,42.58,696.42,630.01,0.29,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
BHARTIARTL,Telecommunication,1905.4,1.16,1740.5,2174.5,9.47,12.38,59.62,1836.46,1959.26,1.67,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
IGL,Oil Gas & Consumable Fuels,152.12,-2.31,141.74,223.11,7.32,31.82,34.91,159.37,185.27,1.44,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
IOC,Oil Gas & Consumable Fuels,134.48,-4.12,127.93,186.61,5.12,27.93,36.02,146.15,151.15,2.47,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
FEDERALBNK,Financial Services,281.3,0.37,184.0,302.0,52.88,6.85,43.66,281.09,248.24,0.73,Bullish,60,"RSI weak/oversold, Above 50 DMA, Above 200 DMA"
ERIS,Healthcare,1370.9,-0.22,1200.0,1910.0,14.24,28.23,51.49,1350.97,1530.76,1.44,Bullish,60,"Near 52W low, Above 50 DMA, Volume expansion"
DOMS,Fast Moving Consumer Goods,2263.5,2.22,2023.9,2881.5,11.84,21.45,44.15,2282.15,2442.99,4.08,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
THELEELA,Consumer Services,414.15,1.02,382.5,474.4,8.27,12.7,43.96,422.8,425.31,1.78,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
BSOFT,Information Technology,314.4,1.13,309.2,474.0,1.68,33.67,26.75,364.15,385.77,2.68,Bearish,60,"Near 52W low, RSI weak/oversold, Volume expansion"
