relative_scan_time,symbol,return_1m,return_3m,return_6m,nifty_1m_return,nifty_3m_return,nifty_6m_return,return_vs_nifty_1m,return_vs_nifty_3m,return_vs_nifty_6m,relative_strength_score,relative_strength_reasons,sector,industry,sector_rank,sector_count,sector_rank_pct
10.09.2026 at 02:35 PM IST,TEGA,6.44,-2.73,-1.31,,,,0,0,0,8,Positive 1M return,Industrials,Specialty Industrial Machinery,16.0,414,3.86
10.09.2026 at 02:35 PM IST,CASTROLIND,0.2,4.67,7.22,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Energy,Oil & Gas Refining & Marketing,5.0,30,16.67
10.09.2026 at 02:35 PM IST,SESHAPAPER,6.27,9.12,0.05,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Basic Materials,Paper & Paper Products,7.0,326,2.15
10.09.2026 at 02:35 PM IST,TIMKEN,2.07,-6.13,-5.22,,,,0,0,0,8,Positive 1M return,Industrials,Tools & Accessories,16.0,414,3.86
10.09.2026 at 02:35 PM IST,SUNDROP,-0.56,-2.28,6.39,,,,0,0,0,10,Positive 6M return,Consumer Defensive,Packaged Foods,13.0,138,9.42
10.09.2026 at 02:35 PM IST,AAKASH,0.33,-11.26,-16.3,,,,0,0,0,8,Positive 1M return,Energy,Oil & Gas Equipment & Services,8.0,30,26.67
10.09.2026 at 02:35 PM IST,JSL,4.05,9.5,2.83,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Basic Materials,Steel,7.0,326,2.15
10.09.2026 at 02:35 PM IST,SUPRAJIT,-3.9,7.41,19.77,,,,0,0,0,20,"Positive 3M return, Positive 6M return",Consumer Cyclical,Auto Parts,12.0,372,3.23
10.09.2026 at 02:35 PM IST,MUKANDLTD,0.64,7.69,16.93,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Basic Materials,Steel,7.0,326,2.15
10.09.2026 at 02:35 PM IST,MALUPAPER,9.7,6.33,8.22,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Basic Materials,Paper & Paper Products,7.0,326,2.15
10.09.2026 at 02:35 PM IST,EMMVEE,8.02,1.75,65.28,,,,0,0,0,48,"Positive 1M return, Positive 3M return, Strong 6M absolute return, Positive across 1M/3M/6M",Technology,Solar,4.0,153,2.61
10.09.2026 at 02:35 PM IST,SINCLAIR,7.14,8.88,12.57,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Consumer Cyclical,Lodging,7.0,372,1.88
10.09.2026 at 02:35 PM IST,GENESYS,43.67,-5.26,9.26,,,,0,0,0,25,"Strong 1M absolute return, Positive 6M return",Technology,Software - Application,9.0,153,5.88
10.09.2026 at 02:35 PM IST,EMIL,-0.36,75.47,103.81,,,,0,0,0,40,"Strong 3M absolute return, Strong 6M absolute return",Consumer Cyclical,Specialty Retail,6.0,372,1.61
10.09.2026 at 02:35 PM IST,HERITGFOOD,9.57,25.09,29.44,,,,0,0,0,48,"Positive 1M return, Strong 3M absolute return, Positive 6M return, Positive across 1M/3M/6M",Consumer Defensive,Packaged Foods,4.0,138,2.9
10.09.2026 at 02:35 PM IST,VARROC,3.99,53.86,76.23,,,,0,0,0,58,"Positive 1M return, Strong 3M absolute return, Strong 6M absolute return, Positive across 1M/3M/6M",Consumer Cyclical,Auto Parts,2.0,372,0.54
10.09.2026 at 02:35 PM IST,HUHTAMAKI,-4.76,51.13,60.21,,,,0,0,0,40,"Strong 3M absolute return, Strong 6M absolute return",Consumer Cyclical,Packaging & Containers,6.0,372,1.61
10.09.2026 at 02:35 PM IST,JAMNAAUTO,6.41,5.39,7.57,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Consumer Cyclical,Auto Parts,7.0,372,1.88
10.09.2026 at 02:35 PM IST,CLEAN,5.54,11.08,15.12,,,,0,0,0,38,"Positive 1M return, Positive 3M return, Positive 6M return, Positive across 1M/3M/6M",Basic Materials,Specialty Chemicals,7.0,326,2.15
10.09.2026 at 02:35 PM IST,RAMANEWS,-3.79,8.02,-18.29,,,,0,0,0,10,Positive 3M return,Consumer Defensive,Beverages - Non-Alcoholic,13.0,138,9.42
10.09.2026 at 02:35 PM IST,ANANDRATHI,-0.47,22.29,41.98,,,,0,0,0,40,"Strong 3M absolute return, Strong 6M absolute return",Financial Services,Asset Management,6.0,215,2.79
