symbol,sector,industry
AAVAS,Financial Services,Mortgage Finance
ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries
AQYLON,Communication Services,Broadcasting
ASIANTILES,Industrials,Building Products & Equipment
ASHOKLEY,Industrials,Farm & Heavy Construction Machinery
BAGFILMS,Communication Services,Broadcasting
BIRLAMONEY,Financial Services,Capital Markets
BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CMSINFO,Industrials,Specialty Business Services
DBCORP,Communication Services,Publishing
DCW,Basic Materials,Chemicals
COROMANDEL,Basic Materials,Agricultural Inputs
DELTACORP,Consumer Cyclical,Resorts & Casinos
DREAMFOLKS,Industrials,Airports & Air Services
EDELWEISS,Financial Services,Financial Conglomerates
EXXARO,Industrials,Building Products & Equipment
GARFIBRES,Consumer Cyclical,Textile Manufacturing
EMUDHRA,Technology,Software - Application
GATECH,Financial Services,Asset Management
GOLDTECH,Technology,Information Technology Services
GICL,Industrials,Integrated Freight & Logistics
GPPL,Industrials,Marine Shipping
GREENPANEL,Basic Materials,Lumber & Wood Production
HONAUT,Industrials,Electrical Equipment & Parts
IKIO,Technology,Electronic Components
INFOMEDIA,Financial Services,Shell Companies
JOCIL,Basic Materials,Specialty Chemicals
LFIC,Financial Services,Asset Management
JTEKTINDIA,Consumer Cyclical,Auto Parts
MGL,Utilities,Utilities - Regulated Gas
MOBIKWIK,Technology,Software - Infrastructure
NAVNETEDUL,Communication Services,Publishing
NELCO,Technology,Communication Equipment
NPST,Technology,Software - Application
PAYTM,Technology,Software - Infrastructure
PODDARMENT,Basic Materials,Specialty Chemicals
PRIMESECU,Financial Services,Capital Markets
RENUKA,Consumer Defensive,Confectioners
RAMCOSYS,Technology,Software - Application
SADBHIN,Industrials,Engineering & Construction
RKEC,Industrials,Engineering & Construction
SAGILITY,Healthcare,Health Information Services
SHAKTIPUMP,Industrials,Specialty Industrial Machinery
SHALPAINTS,Basic Materials,Specialty Chemicals
SGL,Consumer Cyclical,Textile Manufacturing
SOBHA,Real Estate,Real Estate - Development
SUPRIYA,Healthcare,Biotechnology
SURANAT&P,Utilities,Utilities - Independent Power Producers
TBOTEK,Consumer Cyclical,Travel Services
TINNARUBR,Basic Materials,Specialty Chemicals
TRU,Financial Services,Credit Services
UNIENTER,Basic Materials,Chemicals
VSTL,Basic Materials,Steel
VESUVIUS,Industrials,Specialty Industrial Machinery
WEWORK,Real Estate,Real Estate Services
BAJAJCON,Consumer Defensive,Household & Personal Products
KIRLPNU,Industrials,Specialty Industrial Machinery
TDPOWERSYS,Industrials,Specialty Industrial Machinery
TIPSMUSIC,Communication Services,Entertainment
BSE,Financial Services,Financial Data & Stock Exchanges
GESHIP,Industrials,Marine Shipping
MCX,Financial Services,Financial Data & Stock Exchanges
OFSS,Technology,Software - Infrastructure
GLAND,Healthcare,Drug Manufacturers - Specialty & Generic
ACUTAAS,Basic Materials,Specialty Chemicals
AJANTPHARM,Healthcare,Drug Manufacturers - Specialty & Generic
NAM-INDIA,Financial Services,Asset Management
SJS,Consumer Cyclical,Auto Parts
GRWRHITECH,Basic Materials,Specialty Chemicals
SENORES,Healthcare,Drug Manufacturers - General
CUPID,Consumer Defensive,Household & Personal Products
HINDZINC,Basic Materials,Other Industrial Metals & Mining
HSCL,Basic Materials,Specialty Chemicals
ENRIN,Utilities,Utilities - Renewable
SAKAR,Healthcare,Drug Manufacturers - Specialty & Generic
SAREGAMA,Communication Services,Entertainment
SOLARINDS,Basic Materials,Specialty Chemicals
NAVINFLUOR,Basic Materials,Chemicals
ANTELOPUS,Energy,Oil & Gas E&P
GRANULES,Healthcare,Drug Manufacturers - Specialty & Generic
BALAMINES,Basic Materials,Specialty Chemicals
AEROFLEX,Industrials,Metal Fabrication
GVT&D,Industrials,Specialty Industrial Machinery
ANANDRATHI,Financial Services,Asset Management
NOIDATOLL,Industrials,Infrastructure Operations
COALINDIA,Energy,Thermal Coal
KEI,Industrials,Electrical Equipment & Parts
THYROCARE,Healthcare,Diagnostics & Research
USHAMART,Basic Materials,Steel
ASTERDM,Healthcare,Medical Care Facilities
PARKHOSPS,Healthcare,Medical Care Facilities
MARICO,Consumer Defensive,Household & Personal Products
FCL,Basic Materials,Specialty Chemicals
EMCURE,Healthcare,Drug Manufacturers - Specialty & Generic
CARERATING,Financial Services,Financial Data & Stock Exchanges
POLYCAB,Industrials,Electrical Equipment & Parts
GLOBAL,Consumer Defensive,Education & Training Services
BHEL,Industrials,Specialty Industrial Machinery
ATUL,Basic Materials,Specialty Chemicals
IGIL,Basic Materials,Other Precious Metals & Mining
KILITCH,Healthcare,Drug Manufacturers - Specialty & Generic
LALPATHLAB,Healthcare,Diagnostics & Research
MENONBE,Consumer Cyclical,Auto Parts
NESTLEIND,Consumer Defensive,Packaged Foods
SAILIFE,Healthcare,Diagnostics & Research
JAYNECOIND,Basic Materials,Steel
APCOTEXIND,Basic Materials,Specialty Chemicals
RRKABEL,Industrials,Electrical Equipment & Parts
CGPOWER,Industrials,Electrical Equipment & Parts
GALAPREC,Industrials,Specialty Industrial Machinery
METROPOLIS,Healthcare,Diagnostics & Research
MAYURUNIQ,Consumer Cyclical,Textile Manufacturing
