symbol,company_name,series,isin,sector,industry
20MICRONS,20 Microns Limited,EQ,INE144J01027,Unknown,Unknown
21STCENMGM,21st Century Management Services Limited,EQ,INE253B01015,Unknown,Unknown
360ONE,360 ONE WAM LIMITED,EQ,INE466L01038,Financial Services,Asset Management
3BBLACKBIO,3B Blackbio Dx Limited,EQ,INE994E01018,Unknown,Unknown
3IINFOLTD,3i Infotech Limited,EQ,INE748C01038,Unknown,Unknown
3MINDIA,3M India Limited,EQ,INE470A01017,Unknown,Unknown
3PLAND,3P Land Holdings Limited,EQ,INE105C01023,Unknown,Unknown
5PAISA,5Paisa Capital Limited,EQ,INE618L01018,Unknown,Unknown
63MOONS,63 moons technologies limited,EQ,INE111B01023,Unknown,Unknown
AAATECH,AAA Technologies Limited,EQ,INE0D0U01013,Unknown,Unknown
AADHARHFC,Aadhar Housing Finance Limited,EQ,INE883F01010,Unknown,Unknown
AARNAV,Aarnav Fashions Limited,EQ,INE750R01016,Unknown,Unknown
AARON,Aaron Industries Limited,EQ,INE721Z01010,Unknown,Unknown
AARTECH,Aartech Solonics Limited,EQ,INE01C001026,Unknown,Unknown
AARTIDRUGS,Aarti Drugs Limited,EQ,INE767A01016,Unknown,Unknown
AARTIIND,Aarti Industries Limited,EQ,INE769A01020,Basic Materials,Specialty Chemicals
AARTIPHARM,Aarti Pharmalabs Limited,EQ,INE0LRU01027,Unknown,Unknown
AARTISURF,Aarti Surfactants Limited,EQ,INE09EO01013,Unknown,Unknown
AARVI,Aarvi Encon Limited,EQ,INE754X01016,Industrials,Staffing & Employment Services
AAVAS,Aavas Financiers Limited,EQ,INE216P01012,Unknown,Unknown
ABB,ABB India Limited,EQ,INE117A01022,Unknown,Unknown
ABBOTINDIA,Abbott India Limited,EQ,INE358A01014,Healthcare,Drug Manufacturers - Specialty & Generic
ABCAPITAL,Aditya Birla Capital Limited,EQ,INE674K01013,Financial Services,Financial Conglomerates
ABCOTS,A B Cotspin India Limited,EQ,INE08PH01015,Unknown,Unknown
ABDL,Allied Blenders and Distillers Limited,EQ,INE552Z01027,Consumer Defensive,Beverages - Wineries & Distilleries
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,INE647O01011,Unknown,Unknown
ABINFRA,A B Infrabuild Limited,EQ,INE00YB01025,Unknown,Unknown
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,INE14LE01019,Unknown,Unknown
ABMKNO,ABM Knowledgeware Limited,EQ,INE850B01026,Unknown,Unknown
ABREL,Aditya Birla Real Estate Limited,EQ,INE055A01016,Unknown,Unknown
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,INE404A01024,Financial Services,Asset Management
ACC,ACC Limited,EQ,INE012A01025,Unknown,Unknown
ACCELYA,Accelya Solutions India Limited,EQ,INE793A01012,Technology,Information Technology Services
ACE,Action Construction Equipment Limited,EQ,INE731H01025,Unknown,Unknown
ACEINTEG,Ace Integrated Solutions Limited,EQ,INE543V01017,Unknown,Unknown
ACI,Archean Chemical Industries Limited,EQ,INE128X01021,Unknown,Unknown
ACL,Andhra Cements Limited,EQ,INE666E01020,Unknown,Unknown
ACMESOLAR,Acme Solar Holdings Limited,EQ,INE622W01025,Utilities,Utilities - Renewable
ACSTECH,ACS Technologies Limited,EQ,INE366C01021,Unknown,Unknown
ACUTAAS,Acutaas Chemicals Limited,EQ,INE00FF01025,Basic Materials,Specialty Chemicals
ADANIENSOL,Adani Energy Solutions Limited,EQ,INE931S01010,Utilities,Utilities - Independent Power Producers
ADANIENT,Adani Enterprises Limited,EQ,INE423A01024,Energy,Thermal Coal
ADANIGREEN,Adani Green Energy Limited,EQ,INE364U01010,Utilities,Utilities - Renewable
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,INE742F01042,Industrials,Marine Shipping
ADANIPOWER,Adani Power Limited,EQ,INE814H01029,Utilities,Utilities - Independent Power Producers
